,spec,ID,img
0,EPB,105,1
1,FRA,19,1
2,FRA,17,1
3,FRA,16,1
4,ERS,6,1
5,ERS,8,1
6,FRA,14,1
7,EPR,174,1
8,BOJ,31,1
9,BOJ,2,2
10,HEG,280,2
11,FRA,18,2
12,FRA,15,2
13,FRA,11,2
14,FRA,10,2
15,EPR,188,2
16,ERS,5,2
17,ERS,241,2
18,ERS,240,2
19,EPB,103,2
20,ERR,207,2
21,FRA,13,2
22,THO,436,2
23,EPR,186,2
24,BOJ,29,2
25,THO,447,2
26,THO,457,2
27,THO,451,2
28,THO,449,3
29,FRA,251,3
30,FRA,257,3
31,FRA,269,3
32,FRA,9,3
33,HEG,281,3
34,HEG,616,3
35,EPR,176,3
36,ORA,295,3
37,ORA,296,3
38,ORA,297,3
39,THO,442,3
40,PET,314,3
41,ERR,198,3
42,THO,450,3
43,THO,439,3
44,EPB,91,3
45,ERR,199,3
46,ERR,201,3
47,ERR,204,3
48,ERR,206,3
49,ERR,196,3
50,ERS,213,3
51,PIB,343,3
52,EPB,111,3
53,EPB,106,3
54,EPB,104,3
55,EPB,101,3
56,ERS,218,3
57,ERR,190,3
58,ERS,236,3
59,EPB,108,3
60,PIB,344,3
61,ERR,197,3
62,PIR,372,3
63,PIR,373,3
64,THO,437,3
65,BOP,3,3
66,PIR,369,3
67,PIR,368,3
68,THO,433,3
69,PRU,410,3
70,THO,455,4
71,THO,454,4
72,ERS,591,4
73,ERS,784,4
74,PRU,406,4
75,THO,445,4
76,EPO,140,4
77,FRA,250,4
78,FRA,254,4
79,FRA,255,4
80,FRA,256,4
81,PRU,398,4
82,EPB,96,4
83,FRA,261,4
84,FRA,263,4
85,FRA,264,4
86,CHR,509,4
87,EPR,187,4
88,EPB,94,4
89,ERR,192,4
90,PRU,411,4
91,THO,438,4
92,ERR,200,4
93,ERR,202,4
94,ERR,203,4
95,THO,441,4
96,ERR,205,4
97,THO,434,4
98,ERS,211,4
99,BOJ,650,4
100,EPB,112,4
101,EPB,110,4
102,EPB,109,4
103,EPB,107,4
104,EPB,102,4
105,EPB,100,4
106,ERS,217,4
107,PRU,412,4
108,ERS,220,4
109,ERS,223,4
110,ERR,194,4
111,FRA,266,4
112,ERS,235,4
113,FRA,267,4
114,EPB,95,4
115,OSV,311,4
116,ORA,291,4
117,ORA,298,4
118,ORA,287,4
119,OSV,304,4
120,OSV,306,4
121,EPB,99,4
122,HEG,617,4
123,PIR,374,4
124,EPO,172,4
125,FRA,268,4
126,CHR,50,4
127,PIR,366,4
128,EPO,155,4
129,PIB,342,4
130,CHR,75,5
131,EPN,706,5
132,ERS,221,5
133,ERS,222,5
134,ORA,301,5
135,ERS,224,5
136,ERS,210,5
137,ERS,219,5
138,ERS,226,5
139,ERS,230,5
140,ERS,231,5
141,PIR,367,5
142,PIR,370,5
143,ORA,299,5
144,CHR,77,5
145,EPO,148,5
146,ERS,209,5
147,EPO,164,5
148,EPO,171,5
149,EPO,173,5
150,PET,908,5
151,PET,907,5
152,SAB,420,5
153,SAB,419,5
154,EPO,117,5
155,THO,458,5
156,THO,456,5
157,PIR,371,5
158,THO,435,5
159,OSV,309,5
160,ERR,195,5
161,ERS,215,5
162,OSV,305,5
163,BOP,36,5
164,EPN,697,5
165,ERS,239,5
166,EPO,139,5
167,ERS,237,5
168,FRA,252,5
169,FRA,253,5
170,HEG,613,5
171,HEG,612,5
172,HEG,282,5
173,FRA,258,5
174,CHR,516,5
175,EPO,114,5
176,FRA,262,5
177,THO,443,5
178,CHR,510,5
179,HEG,278,5
180,BOP,37,5
181,THO,440,5
182,FRA,272,5
183,EPR,185,5
184,THO,444,5
185,PRU,402,5
186,THO,446,5
187,ORA,288,5
188,ERS,242,5
189,EPO,115,5
190,CHR,62,5
191,THO,452,5
192,PRU,409,5
193,BOJ,28,5
194,PRU,407,5
195,MEL,880,5
196,BOJ,30,5
197,FRA,12,5
198,MEL,829,5
199,THO,448,5
200,PRU,404,5
201,CHR,508,5
202,EPO,741,6
203,EPO,121,6
204,EPO,122,6
205,EPO,125,6
206,EPR,751,6
207,EPO,116,6
208,EPR,181,6
209,EPO,147,6
210,EPO,144,6
211,EPO,135,6
212,FRA,259,6
213,ERS,214,6
214,PET,940,6
215,PET,941,6
216,PET,957,6
217,PET,959,6
218,PET,961,6
219,PET,962,6
220,PIR,352,6
221,PET,931,6
222,PIR,353,6
223,PRU,377,6
224,PRU,385,6
225,PRU,408,6
226,SAB,416,6
227,SAB,418,6
228,SAB,988,6
229,THO,453,6
230,PIR,361,6
231,ERR,542,6
232,PET,910,6
233,OSV,312,6
234,ERS,225,6
235,ERS,232,6
236,ERS,234,6
237,ERS,770,6
238,ERS,781,6
239,ERS,782,6
240,FRA,245,6
241,PET,909,6
242,FRA,248,6
243,FRA,260,6
244,HEG,284,6
245,MEL,809,6
246,MEL,816,6
247,MEL,836,6
248,ORA,290,6
249,ORA,294,6
250,FRA,249,6
251,EPN,734,6
252,ERS,771,6
253,EPB,87,6
254,CHR,74,6
255,CHR,53,6
256,BOP,38,6
257,CHR,69,6
258,CHR,681,6
259,CHR,674,6
260,EPN,710,6
261,CHR,64,6
262,BOP,32,6
263,EPN,707,6
264,CHR,505,6
265,CHR,58,6
266,CHR,511,6
267,CHR,514,6
268,EPB,86,6
269,CHR,78,6
270,BOJ,27,6
271,CHR,72,6
272,CHR,55,6
273,EPB,692,6
274,BOP,668,6
275,EPB,98,6
276,BOP,669,6
277,EPB,93,6
278,EPB,688,6
279,EPB,92,6
280,EPB,82,6
281,CHR,65,7
282,EPB,691,7
283,BOJ,653,7
284,CHR,63,7
285,SAB,417,7
286,CHR,59,7
287,EPB,83,7
288,EPB,84,7
289,EPB,85,7
290,CHR,57,7
291,ERS,785,7
292,CHR,56,7
293,ERS,593,7
294,CHR,66,7
295,THO,1005,7
296,ERR,554,7
297,SAB,992,7
298,SAB,990,7
299,ERR,762,7
300,SAB,989,7
301,EPB,683,7
302,ERS,216,7
303,CHR,79,7
304,ERR,553,7
305,EPB,687,7
306,CHR,73,7
307,ERR,550,7
308,ERR,546,7
309,BOJ,651,7
310,ERS,227,7
311,ERS,228,7
312,ERS,229,7
313,CHR,68,7
314,ERS,233,7
315,CHR,70,7
316,CHR,677,7
317,EPN,721,7
318,CHR,526,7
319,PIR,355,7
320,PIB,966,7
321,OSV,303,7
322,PIB,964,7
323,CHR,46,7
324,PIB,341,7
325,PIB,340,7
326,OSV,891,7
327,PIB,336,7
328,PET,914,7
329,ORA,293,7
330,PET,918,7
331,PET,928,7
332,PET,929,7
333,PET,933,7
334,PET,934,7
335,PET,938,7
336,PET,943,7
337,PET,944,7
338,PET,954,7
339,PET,960,7
340,PIB,317,7
341,PET,919,7
342,ORA,292,7
343,MEL,882,7
344,PIR,360,7
345,CHR,524,7
346,FRA,265,7
347,CHR,504,7
348,FRA,270,7
349,FRA,271,7
350,BOJ,662,7
351,PRU,405,7
352,BOP,34,7
353,HEG,276,7
354,CHR,501,7
355,HEG,279,7
356,CHR,500,7
357,HEG,614,7
358,HEG,615,7
359,HEG,621,7
360,HEG,623,7
361,HEG,804,7
362,MEL,814,7
363,EPN,720,7
364,PRU,382,7
365,PIR,365,7
366,PIR,364,7
367,PIR,363,7
368,FRA,246,7
369,CHR,520,7
370,CHR,522,7
371,EPO,740,7
372,EPB,97,7
373,EPO,152,7
374,EPO,166,7
375,EPO,120,7
376,EPO,134,7
377,EPO,149,7
378,EPN,703,7
379,EPO,146,7
380,EPO,145,7
381,EPO,153,7
